Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Bad Ragaz
Altitude [m asl]:         497 m
Coordinates:              47° 1.0' N / 9° 30.2' E

Reference date of homogenization:
         Temperature:     01.12.2009

Last inhomogeneity provisionally corrected:
         Temperature:     no

Units:
         Temperature:     °C

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.07.2021


Year  Month        Temperature  
1878      4                9.1  
1878      5               14.1  
1878      6               15.3  
1878      7               16.0  
1878      8               16.9  
1878      9               13.8  
1878     10               10.0  
1878     11                3.3  
1878     12               -0.5  
1879      1                0.8  
1879      2                2.9  
1879      3                5.2  
1879      4                7.8  
1879      5                9.8  
1879      6               16.4  
1879      7               14.9  
1879      8               19.0  
1879      9               14.4  
1879     10                7.1  
1879     11                1.1  
1879     12               -8.3  
1880      1               -6.5  
1880      2                1.9  
1880      3                7.0  
1880      4                9.5  
1880      5               11.5  
1880      6               14.3  
1880      7               18.5  
1880      8               15.8  
1880      9               14.2  
1880     10               10.0  
1880     11                5.1  
1880     12                4.3  
1881      1               -1.4  
1881      2                2.7  
1881      3                6.3  
1881      4                8.4  
1881      5               10.5  
1881      6               16.0  
1881      7               20.6  
1881      8               18.0  
1881      9               12.9  
1881     10                6.7  
1881     11                6.0  
1881     12                1.2  
1882      1               -1.2  
1882      2                0.7  
1882      3                6.9  
1882      4                9.4  
1882      5               13.9  
1882      6               15.0  
1882      7               16.5  
1882      8               15.3  
1882      9               13.0  
1882     10               11.2  
1882     11                4.7  
1882     12                2.2  
1883      1                2.5  
1883      2                4.5  
1883      3                1.2  
1883      4                8.3  
1883      5               12.8  
1883      6               15.7  
1883      7               16.5  
1883      8               16.7  
1883      9               13.9  
1883     10                7.8  
1883     11                4.4  
1883     12               -1.4  
1884      1                1.4  
1884      2                4.1  
1884      3                7.2  
1884      4                8.6  
1884      5               14.8  
1884      6               13.5  
1884      7               18.9  
1884      8               17.6  
1884      9               14.7  
1884     10                7.5  
1884     11                1.4  
1884     12                1.4  
1885      1               -4.0  
1885      2                4.7  
1885      3                4.8  
1885      4               10.7  
1885      5               10.5  
1885      6               17.8  
1885      7               18.7  
1885      8               16.4  
1885      9               13.5  
1885     10                7.6  
1885     11                4.2  
1885     12               -1.3  
1886      1               -0.4  
1886      2               -2.1  
1886      3                3.4  
1886      4               10.3  
1886      5               14.0  
1886      6               13.9  
1886      7               17.9  
1886      8               17.0  
1886      9               15.8  
1886     10               11.3  
1886     11                4.6  
1886     12                1.6  
1887      1               -5.5  
1887      2               -1.0  
1887      3                1.5  
1887      4                8.4  
1887      5               10.0  
1887      6               16.8  
1887      7               18.5  
1887      8               15.7  
1887      9               13.0  
1887     10                5.6  
1887     11                5.7  
1887     12               -1.0  
1888      1               -2.0  
1888      2               -0.5  
1888      3                3.3  
1888      4                6.7  
1888      5               13.4  
1888      6               15.3  
1888      7               15.1  
1888      8               15.7  
1888      9               14.5  
1888     10                6.6  
1888     11                5.1  
1888     12                0.9  
1889      1               -2.0  
1889      2               -1.8  
1889      3                1.8  
1889      4                7.7  
1889      5               15.1  
1889      6               17.5  
1889      7               16.8  
1889      8               16.2  
1889      9               12.3  
1889     10                9.4  
1889     11                2.5  
1889     12               -3.2  
1890      1                2.5  
1890      2               -2.2  
1890      3                3.8  
1890      4                8.8  
1890      5               14.4  
1890      6               14.8  
1890      7               15.0  
1890      8               16.4  
1890      9               13.2  
1890     10                6.8  
1890     11                3.3  
1890     12               -4.5  
1891      1               -6.7  
1891      2               -2.3  
1891      3                3.8  
1891      4                6.3  
1891      5               13.3  
1891      6               16.2  
1891      7               16.3  
1891      8               15.5  
1891      9               14.5  
1891     10               10.9  
1891     11                3.3  
1891     12                0.6  
1892      1               -1.0  
1892      2                1.8  
1892      3                2.1  
1892      4                8.6  
1892      5               13.5  
1892      6               16.0  
1892      7               17.0  
1892      8               18.8  
1892      9               14.7  
1892     10                9.1  
1892     11                5.3  
1892     12               -1.7  
1893      1               -6.0  
1893      2                1.7  
1893      3                5.4  
1893      4               11.8  
1893      5               13.0  
1893      6               16.3  
1893      7               17.8  
1893      8               18.5  
1893      9               14.5  
1893     10               11.0  
1893     11                3.0  
1893     12               -0.1  
1894      1               -0.9  
1894      2                0.8  
1894      3                5.2  
1894      4               11.2  
1894      5               12.5  
1894      6               15.7  
1894      7               18.2  
1894      8               16.7  
1894      9               12.8  
1894     10                9.3  
1894     11                5.1  
1894     12               -1.8  
1895      1               -4.7  
1895      2               -5.9  
1895      3                2.9  
1895      4               10.2  
1895      5               12.8  
1895      6               16.3  
1895      7               19.2  
1895      8               16.8  
1895      9               17.5  
1895     10                9.1  
1895     11                7.3  
1895     12                0.4  
1896      1               -3.0  
1896      2               -1.2  
1896      3                5.6  
1896      4                6.1  
1896      5               11.5  
1896      6               16.3  
1896      7               18.0  
1896      8               14.6  
1896      9               13.2  
1896     10                8.6  
1896     11                2.3  
1896     12                1.2  
1897      1                0.0  
1897      2                3.7  
1897      3                6.8  
1897      4                9.0  
1897      5               10.9  
1897      6               18.0  
1897      7               18.6  
1897      8               17.3  
1897      9               12.8  
1897     10                8.1  
1897     11                3.9  
1897     12                0.1  
1898      1                2.4  
1898      2                0.4  
1898      3                3.7  
1898      4                9.3  
1898      5               12.4  
1898      6               14.9  
1898      7               16.5  
1898      8               18.6  
1898      9               15.7  
1898     10               11.7  
1898     11                6.9  
1898     12                0.9  
1899      1                2.0  
1899      2                3.4  
1899      3                5.5  
1899      4                8.0  
1899      5               12.0  
1899      6               16.2  
1899      7               17.9  
1899      8               18.7  
1899      9               13.9  
1899     10               10.5  
1899     11                4.8  
1899     12               -1.3  
1900      1                1.0  
1900      2                4.1  
1900      3                1.5  
1900      4                7.9  
1900      5               12.0  
1900      6               16.8  
1900      7               18.9  
1900      8               16.2  
1900      9               16.0  
1900     10                9.9  
1900     11                5.8  
1900     12                2.5  
1901      1               -1.1  
1901      2               -3.6  
1901      3                2.9  
1901      4                9.3  
1901      5               13.2  
1901      6               16.8  
1901      7               18.1  
1901      8               17.0  
1901      9               14.9  
1901     10                9.3  
1901     11                1.1  
1901     12                0.7  
1902      1                0.6  
1902      2                1.3  
1902      3                4.1  
1902      4               11.2  
1902      5                9.0  
1902      6               15.2  
1902      7               18.4  
1902      8               16.9  
1902      9               14.0  
1902     10                8.9  
1902     11                4.1  
1902     12                0.0  
1903      1               -0.1  
1903      2                3.3  
1903      3                6.6  
1903      4                5.5  
1903      5               13.0  
1903      6               15.7  
1903      7               16.6  
1903      8               17.1  
1903      9               14.6  
1903     10               10.4  
1903     11                3.5  
1903     12                0.2  
1904      1               -0.3  
1904      2                1.9  
1904      3                5.2  
1904      4               10.2  
1904      5               14.1  
1904      6               17.1  
1904      7               19.6  
1904      8               18.1  
1904      9               12.5  
1904     10                9.5  
1904     11                2.5  
1904     12                0.4  
1905      1               -2.8  
1905      2               -0.2  
1905      3                5.4  
1905      4                8.2  
1905      5               12.1  
1905      6               17.0  
1905      7               20.2  
1905      8               17.1  
1905      9               15.0  
1905     10                4.7  
1905     11                4.2  
1905     12               -0.7  
1906      1               -0.6  
1906      2               -0.5  
1906      3                2.8  
1906      4                8.5  
1906      5               13.1  
1906      6               15.5  
1906      7               17.9  
1906      8               18.1  
1906      9               13.3  
1906     10               12.1  
1906     11                5.3  
1906     12               -2.2  
1907      1               -1.4  
1907      2               -2.7  
1907      3                2.1  
1907      4                7.1  
1907      5               14.4  
1907      6               16.0  
1907      7               15.7  
1907      8               17.8  
1907      9               15.4  
1907     10               12.2  
1907     11                6.2  
1907     12                1.9  
1908      1               -1.9  
1908      2                0.1  
1908      3                3.3  
1908      4                6.3  
1908      5               15.0  
1908      6               18.0  
1908      7               17.1  
1908      8               15.5  
1908      9               12.9  
1908     10                9.9  
1908     11                2.5  
1908     12               -0.2  
1909      1               -3.5  
1909      2               -2.5  
1909      3                3.1  
1909      4               10.3  
1909      5               12.5  
1909      6               14.8  
1909      7               15.6  
1909      8               16.6  
