Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Sargans
Altitude [m asl]:         585 m
Coordinates:              47° 3.2' N / 9° 26.4' E

Reference date of homogenization:
         Precipitation:   01.12.2019

Last inhomogeneity provisionally corrected:
         Precipitation:   no

Units:
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.07.2021


Year  Month      Precipitation  
1912     12               65.5  
1913      1              101.1  
1913      2               37.1  
1913      3               50.1  
1913      4               91.4  
1913      5               96.9  
1913      6              160.5  
1913      7              204.0  
1913      8              150.3  
1913      9               90.5  
1913     10               62.2  
1913     11              170.0  
1913     12              117.4  
1914      1              201.2  
1914      2               45.5  
1914      3              211.6  
1914      4               48.5  
1914      5              120.1  
1914      6              112.1  
1914      7              243.3  
1914      8              125.4  
1914      9              104.8  
1914     10               97.8  
1914     11               70.6  
1914     12               38.8  
1915      1              141.2  
1915      2               48.3  
1915      3              121.3  
1915      4              105.9  
1915      5               39.7  
1915      6               85.5  
1915      7              227.2  
1915      8              155.5  
1915      9              125.4  
1915     10               17.2  
1915     11               57.9  
1915     12              104.5  
1916      1              140.8  
1916      2              111.6  
1916      3               96.4  
1916      4              136.2  
1916      5               86.0  
1916      6              215.0  
1916      7              145.2  
1916      8              152.7  
1916      9              128.6  
1916     10              183.6  
1916     11              121.9  
1916     12              153.1  
1917      1               84.7  
1917      2               16.1  
1917      3               81.7  
1917      4              182.6  
1917      5               76.2  
1917      6               79.1  
1917      7              138.0  
1917      8              248.7  
1917      9               58.5  
1917     10              263.9  
1917     11              128.3  
1917     12               62.3  
1918      1               62.4  
1918      2               56.6  
1918      3               48.1  
1918      4              101.8  
1918      5               30.7  
1918      6              210.0  
1918      7              106.3  
1918      8              158.1  
1918      9              116.2  
1918     10               61.3  
1918     11               43.4  
1918     12              334.3  
1919      1               59.9  
1919      2               82.2  
1919      3               96.5  
1919      4              152.4  
1919      5               79.4  
1919      6              136.2  
1919      7              114.6  
1919      8              100.5  
1919      9               78.5  
1919     10              100.0  
1919     11              172.2  
1919     12              270.1  
1920      1              171.9  
1920      2               31.8  
1920      3               45.9  
1920      4               93.1  
1920      5              104.9  
1920      6              112.0  
1920      7              232.4  
1920      8               80.7  
1920      9              160.7  
1920     10                0.5  
1920     11                1.5  
1920     12               49.7  
1921      1              122.3  
1921      2               14.3  
1921      3               19.5  
1921      4               73.7  
1921      5               92.3  
1921      6              172.3  
1921      7               31.3  
1921      8              124.3  
1921      9               92.1  
1921     10               67.2  
1921     11              146.3  
1921     12               86.0  
1922      1              254.2  
1922      2               97.2  
1922      3              113.2  
1922      4              123.3  
1922      5               38.7  
1922      6              159.8  
1922      7              233.0  
1922      8              158.0  
1922      9              249.9  
1922     10              100.9  
1922     11              198.0  
1922     12              175.4  
1923      1              122.8  
1923      2               79.4  
1923      3               27.6  
1923      4               78.9  
1923      5               96.9  
1923      6              115.8  
1923      7              103.2  
1923      8              114.2  
1923      9              121.2  
1923     10              142.4  
1923     11              122.3  
1923     12              253.1  
1924      1               44.7  
1924      2               75.1  
1924      3               17.9  
1924      4              110.0  
1924      5              203.4  
1924      6              161.0  
1924      7              214.1  
1924      8              172.4  
1924      9               95.4  
1924     10               63.7  
1924     11               30.4  
1924     12               56.3  
1925      1               42.7  
1925      2               64.4  
1925      3               60.2  
1925      4              106.1  
1925      5               53.7  
1925      6               64.3  
1925      7              179.0  
1925      8              236.3  
1925      9              196.9  
1925     10               81.2  
1925     11               74.8  
1925     12              136.8  
1926      1               85.7  
1926      2               61.4  
1926      3              145.8  
1926      4               52.5  
1926      5              219.4  
1926      6              255.3  
1926      7              214.2  
1926      8               57.8  
1926      9               45.6  
1926     10              141.2  
1926     11              112.6  
1926     12              120.7  
1927      1              124.7  
1927      2               70.0  
1927      3              135.7  
1927      4              138.0  
1927      5               72.8  
1927      6              187.1  
1927      7              205.8  
1927      8              221.4  
1927      9              224.6  
1927     10               22.9  
1927     11               91.1  
1927     12               24.6  
1928      1               65.1  
1928      2              147.9  
1928      3               56.6  
1928      4               93.7  
1928      5              166.5  
1928      6              128.4  
1928      7              110.3  
1928      8              220.0  
1928      9               91.7  
1928     10              129.3  
1928     11              186.0  
1928     12              135.8  
1929      1               86.6  
1929      2               17.2  
1929      3               18.2  
1929      4              138.8  
1929      5               70.6  
1929      6              148.4  
1929      7              137.1  
